timestamp,device,action,value
2025-06-29 08:04:11,현관 조명,power,OFF
2025-06-29 08:08:11,CCTV,power,ON
2025-06-29 08:08:11,거실 조명,power,OFF
2025-06-29 08:13:11,침실3 조명,power,OFF
2025-06-29 17:33:11,에어컨,power,ON
2025-06-29 17:48:11,침실1 조명,power,ON
2025-06-29 17:52:11,침실2 조명,power,ON
2025-06-29 17:54:11,침실3 조명,power,ON
2025-06-29 18:00:11,현관 조명,power,ON
2025-06-29 18:07:11,CCTV,power,OFF
2025-06-29 18:14:11,거실 조명,power,ON
2025-06-29 18:28:11,주방 조명,power,ON
2025-06-29 18:37:11,가스밸브,power,ON
2025-06-29 21:04:11,거실 조명,power,OFF
2025-06-29 21:11:11,주방 조명,power,OFF
2025-06-29 21:47:11,침실3 조명,power,OFF
2025-06-29 21:50:11,현관 조명,power,OFF
2025-06-29 21:52:11,침실1 조명,power,OFF
2025-06-29 21:52:11,침실2 조명,power,OFF
2025-06-30 06:54:11,침실1 조명,power,OFF
2025-06-30 07:10:11,침실3 조명,power,OFF
2025-06-30 07:49:11,에어컨,power,OFF
2025-06-30 07:58:11,현관 조명,power,OFF
2025-06-30 08:02:11,거실 조명,power,OFF
2025-06-30 08:05:11,침실1 조명,power,OFF
2025-06-30 08:07:11,주방 조명,power,OFF
2025-06-30 08:08:11,침실2 조명,power,OFF
2025-06-30 08:13:11,CCTV,power,ON
2025-06-30 08:13:11,침실3 조명,power,OFF
2025-06-30 17:46:11,거실 조명,power,ON
2025-06-30 17:48:11,CCTV,power,OFF
2025-06-30 17:58:11,침실3 조명,power,ON
2025-06-30 17:59:11,침실2 조명,power,ON
2025-06-30 18:14:11,침실1 조명,power,ON
2025-06-30 18:26:11,주방 조명,power,ON
2025-06-30 18:33:11,가스밸브,power,ON
2025-06-30 20:59:11,거실 조명,power,OFF
2025-06-30 21:12:11,주방 조명,power,OFF
2025-06-30 21:51:11,침실3 조명,power,OFF
2025-06-30 21:54:11,침실2 조명,power,OFF
2025-06-30 22:00:11,현관 조명,power,OFF
2025-06-30 22:06:11,침실1 조명,power,OFF
2025-07-01 06:55:11,침실1 조명,power,OFF
2025-07-01 07:08:11,침실2 조명,power,OFF
2025-07-01 07:11:11,침실3 조명,power,OFF
2025-07-01 07:46:11,침실1 조명,power,OFF
2025-07-01 07:47:11,거실 조명,power,OFF
2025-07-01 07:54:11,CCTV,power,ON
2025-07-01 08:00:11,에어컨,power,OFF
2025-07-01 08:06:11,현관 조명,power,OFF
2025-07-01 08:09:11,주방 조명,power,OFF
2025-07-01 08:11:11,침실3 조명,power,OFF
2025-07-01 08:12:11,침실2 조명,power,OFF
2025-07-01 17:30:11,에어컨,power,ON
2025-07-01 17:49:11,침실2 조명,power,ON
2025-07-01 17:57:11,거실 조명,power,ON
2025-07-01 17:59:11,CCTV,power,OFF
2025-07-01 18:01:11,침실3 조명,power,ON
2025-07-01 18:05:11,현관 조명,power,ON
2025-07-01 18:09:11,침실1 조명,power,ON
2025-07-01 18:16:11,가스밸브,power,ON
2025-07-01 18:42:11,주방 조명,power,ON
2025-07-01 21:12:11,거실 조명,power,OFF
2025-07-01 21:12:11,주방 조명,power,OFF
2025-07-01 21:49:11,침실2 조명,power,OFF
2025-07-01 21:50:11,침실3 조명,power,OFF
2025-07-01 22:01:11,침실1 조명,power,OFF
2025-07-01 22:06:11,현관 조명,power,OFF
2025-07-02 06:51:11,침실2 조명,power,OFF
2025-07-02 06:51:11,침실3 조명,power,OFF
2025-07-02 07:12:11,침실1 조명,power,OFF
2025-07-02 07:53:11,CCTV,power,ON
2025-07-02 07:56:11,거실 조명,power,OFF
2025-07-02 07:56:11,현관 조명,power,OFF
2025-07-02 07:58:11,침실3 조명,power,OFF
2025-07-02 08:03:11,주방 조명,power,OFF
2025-07-02 08:09:11,침실1 조명,power,OFF
2025-07-02 08:10:11,침실2 조명,power,OFF
2025-07-02 08:12:11,에어컨,power,OFF
2025-07-02 17:40:11,에어컨,power,ON
2025-07-02 17:48:11,침실2 조명,power,ON
2025-07-02 17:49:11,거실 조명,power,ON
2025-07-02 18:00:11,침실3 조명,power,ON
2025-07-02 18:03:11,현관 조명,power,ON
2025-07-02 18:07:11,CCTV,power,OFF
2025-07-02 18:14:11,침실1 조명,power,ON
2025-07-02 18:17:11,가스밸브,power,ON
2025-07-02 18:17:11,주방 조명,power,ON
2025-07-02 20:53:11,거실 조명,power,OFF
2025-07-02 21:09:11,주방 조명,power,OFF
2025-07-02 22:04:11,침실1 조명,power,OFF
2025-07-02 22:06:11,현관 조명,power,OFF
2025-07-02 22:08:11,침실3 조명,power,OFF
